nome_run;status;dataset_nome;mAP50_95;mAP50;mAP75;precisao;recall;velocidade_preprocess_ms;velocidade_inference_ms;velocidade_postprocess_ms;mensagem_erro
YOLOv8n_640px_100e_on_unificacaoDosOceanos_17-10-2025_21-51-38;SUCESSO;unificacaoDosOceanos;0.57437;0.77218;0.62832;0.79779;0.69660;0.342;3.445;1.377;
YOLOv8s_640px_100e_on_aquarium_pretrain_16-10-2025_21-25-23;SUCESSO;aquarium_pretrain;0.42941;0.74350;0.45034;0.79097;0.62909;1.424;23.384;5.581;
YOLOv8s_640px_100e_on_FishInvSplit_16-10-2025_21-25-23;SUCESSO;FishInvSplit;0.68449;0.86275;0.75431;0.86642;0.77283;0.511;5.740;2.078;
YOLOv5n_640px_100e_on_FishInvSplit_22-09-2025_22-54-32;SUCESSO;FishInvSplit;0.64679;0.83774;0.72117;0.84855;0.74849;0.395;3.592;2.570;
YOLOv5s_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.41996;0.72487;0.39823;0.77120;0.61864;3.009;12.780;16.311;
YOLO11l_640px_100e_on_aquarium_pretrain_28-09-2025_07-03-57;SUCESSO;aquarium_pretrain;0.35021;0.63427;0.31642;0.69057;0.53197;5.147;33.313;3.932;
YOLOv5n_640px_100e_on_unificacaoDosOceanos_23-09-2025_06-36-35;SUCESSO;unificacaoDosOceanos;0.53656;0.73001;0.59474;0.76497;0.65834;0.352;2.889;0.806;
YOLO11n_640px_100e_on_aquarium_pretrain_22-09-2025_22-54-32;SUCESSO;aquarium_pretrain;0.40397;0.70992;0.42178;0.77230;0.61915;2.850;15.780;6.481;
YOLO11s_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.65743;0.83767;0.72511;0.79518;0.78148;0.468;6.842;3.110;
YOLOv8m_640px_100e_on_FishInvSplit_16-10-2025_21-25-23;SUCESSO;FishInvSplit;0.70249;0.86527;0.77380;0.85690;0.79831;0.408;12.086;1.499;
YOLOv5l_640px_100e_on_aquarium_pretrain_28-09-2025_07-03-57;SUCESSO;aquarium_pretrain;0.36873;0.68803;0.38258;0.67599;0.65527;2.566;29.405;3.771;
YOLOv8s_640px_100e_on_unificacaoDosOceanos_16-10-2025_21-25-23;SUCESSO;unificacaoDosOceanos;0.57616;0.77646;0.62944;0.78580;0.71745;0.207;5.396;2.862;
YOLOv8m_640px_100e_on_aquarium_pretrain_16-10-2025_21-25-23;SUCESSO;aquarium_pretrain;0.43265;0.74221;0.45635;0.74773;0.65997;0.612;26.500;4.268;
YOLO11l_640px_100e_on_FishInvSplit_28-09-2025_07-03-57;SUCESSO;FishInvSplit;0.67361;0.83666;0.73221;0.76912;0.79712;0.418;18.165;1.736;
YOLOv5n_640px_100e_on_aquarium_pretrain_22-09-2025_22-54-32;SUCESSO;aquarium_pretrain;0.37483;0.69766;0.39143;0.73625;0.62104;2.931;13.669;13.814;
YOLOv5m_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.41237;0.72403;0.43765;0.77231;0.64327;2.735;22.957;4.566;
YOLOv8l_640px_100e_on_FishInvSplit_18-10-2025_08-35-35;SUCESSO;FishInvSplit;0.69396;0.85949;0.75635;0.84070;0.78690;0.349;21.733;2.102;
YOLOv8n_640px_100e_on_FishInvSplit_17-10-2025_21-51-38;SUCESSO;FishInvSplit;0.67672;0.85124;0.75828;0.85322;0.78209;0.404;2.061;1.292;
YOLOv8m_640px_100e_on_unificacaoDosOceanos_16-10-2025_21-25-23;SUCESSO;unificacaoDosOceanos;0.60538;0.79676;0.66220;0.76504;0.74679;0.334;12.875;2.131;
RT-DETR-L_640px_100e_on_unificacaoDosOceanos_23-09-2025_22-51-52;SUCESSO;unificacaoDosOceanos;0.62926;0.84226;0.68241;0.82425;0.81477;0.567;31.119;0.360;
YOLO11n_640px_100e_on_unificacaoDosOceanos_23-09-2025_06-36-35;SUCESSO;unificacaoDosOceanos;0.54399;0.72549;0.59153;0.69818;0.68360;0.391;3.083;2.489;
YOLOv5l_640px_100e_on_FishInvSplit_28-09-2025_07-03-57;SUCESSO;FishInvSplit;0.66723;0.86654;0.73720;0.82736;0.80471;0.463;18.436;1.413;
YOLOv5l_640px_100e_on_unificacaoDosOceanos_23-09-2025_11-36-00;SUCESSO;unificacaoDosOceanos;0.54773;0.75292;0.59319;0.73540;0.71196;0.358;17.569;0.895;
YOLOv8l_640px_100e_on_unificacaoDosOceanos_19-10-2025_20-48-40;SUCESSO;unificacaoDosOceanos;0.56923;0.75849;0.61836;0.77410;0.69814;0.401;20.081;1.533;
YOLO11m_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.36592;0.67723;0.37190;0.65810;0.63091;3.015;14.442;16.488;
YOLO11l_640px_100e_on_unificacaoDosOceanos_24-09-2025_13-04-16;SUCESSO;unificacaoDosOceanos;0.58392;0.76680;0.62864;0.80280;0.68047;0.223;16.040;2.643;
YOLOv8n_640px_100e_on_aquarium_pretrain_17-10-2025_21-51-38;SUCESSO;aquarium_pretrain;0.41415;0.71100;0.45944;0.78159;0.60298;2.497;11.000;9.756;
YOLO11n_640px_100e_on_FishInvSplit_22-09-2025_22-54-32;SUCESSO;FishInvSplit;0.65752;0.83228;0.73208;0.82697;0.75418;0.556;3.767;2.401;
YOLOv5m_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.67397;0.86481;0.75622;0.86127;0.78074;0.289;9.771;1.663;
YOLOv5s_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.65038;0.84669;0.73030;0.83681;0.76681;0.378;4.407;1.221;
RT-DETR-L_640px_100e_on_FishInvSplit_21-09-2025_20-06-24;SUCESSO;FishInvSplit;0.68743;0.86306;0.75019;0.86425;0.82044;0.320;26.583;0.588;
YOLO11m_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.66470;0.84287;0.73606;0.81660;0.77798;0.386;10.825;1.175;
YOLOv8l_640px_100e_on_aquarium_pretrain_18-10-2025_08-35-35;SUCESSO;aquarium_pretrain;0.32176;0.61686;0.29059;0.71161;0.54203;2.354;19.644;3.098;
YOLO11s_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.55263;0.74735;0.60014;0.75602;0.69064;0.410;4.875;2.050;
YOLO11m_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.55689;0.75268;0.59910;0.81745;0.65497;0.379;10.055;0.861;
RT-DETR-L_640px_100e_on_aquarium_pretrain_21-09-2025_15-37-21;SUCESSO;aquarium_pretrain;0.47139;0.77057;0.53206;0.77314;0.75188;0.957;28.954;0.224;
YOLO11s_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.40828;0.73421;0.39827;0.83171;0.62507;2.321;8.738;11.172;
YOLOv5s_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.53348;0.73456;0.57834;0.76068;0.65114;0.300;3.806;1.504;
YOLOv5m_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.55308;0.75902;0.58986;0.79126;0.66712;0.344;8.559;1.129;
