nome_run;status;dataset_nome;mAP50_95;mAP50;mAP75;precisao;recall;f1_score;velocidade_preprocess_ms;velocidade_inference_ms;velocidade_postprocess_ms;mensagem_erro
RT-DETR-L_640px_100e_on_aquarium_pretrain_21-09-2025_15-37-21;SUCESSO;aquarium_pretrain;0.47139;0.77057;0.53206;0.77314;0.75188;0.76236;0.466;20.592;0.360;
RT-DETR-L_640px_100e_on_FishInvSplit_21-09-2025_20-06-24;SUCESSO;FishInvSplit;0.68743;0.86306;0.75019;0.86425;0.82044;0.84178;0.282;20.148;0.362;
RT-DETR-L_640px_100e_on_unificacaoDosOceanos_23-09-2025_22-51-52;SUCESSO;unificacaoDosOceanos;0.62926;0.84226;0.68241;0.82425;0.81477;0.81948;0.277;20.483;0.361;
YOLO11l_640px_100e_on_aquarium_pretrain_28-09-2025_07-03-57;SUCESSO;aquarium_pretrain;0.35021;0.63427;0.31642;0.69057;0.53197;0.60098;0.351;16.941;0.822;
YOLO11l_640px_100e_on_FishInvSplit_28-09-2025_07-03-57;SUCESSO;FishInvSplit;0.67361;0.83666;0.73221;0.76912;0.79712;0.78287;0.231;13.316;0.805;
YOLO11l_640px_100e_on_unificacaoDosOceanos_24-09-2025_13-04-16;SUCESSO;unificacaoDosOceanos;0.58392;0.76680;0.62864;0.80280;0.68047;0.73659;0.233;12.928;0.790;
YOLO11m_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.36592;0.67723;0.37190;0.65810;0.63091;0.64422;0.346;14.890;0.978;
YOLO11m_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.66470;0.84287;0.73606;0.81660;0.77798;0.79682;0.237;10.190;0.850;
YOLO11m_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.55689;0.75268;0.59910;0.81745;0.65497;0.72724;0.238;10.520;0.928;
YOLO11n_640px_100e_on_aquarium_pretrain_22-09-2025_22-54-32;SUCESSO;aquarium_pretrain;0.40397;0.70992;0.42178;0.77230;0.61915;0.68730;0.351;4.147;1.237;
YOLO11n_640px_100e_on_FishInvSplit_22-09-2025_22-54-32;SUCESSO;FishInvSplit;0.65752;0.83228;0.73208;0.82697;0.75418;0.78890;0.294;3.532;1.093;
YOLO11n_640px_100e_on_unificacaoDosOceanos_23-09-2025_06-36-35;SUCESSO;unificacaoDosOceanos;0.54399;0.72549;0.59153;0.69818;0.68360;0.69081;0.262;3.524;1.073;
YOLO11s_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.40828;0.73421;0.39827;0.83171;0.62507;0.71373;0.386;7.168;1.002;
YOLO11s_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.65743;0.83767;0.72511;0.79518;0.78148;0.78827;0.232;4.661;0.873;
YOLO11s_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.55263;0.74735;0.60014;0.75602;0.69064;0.72185;0.237;4.990;0.934;
YOLOv5l_640px_100e_on_aquarium_pretrain_28-09-2025_07-03-57;SUCESSO;aquarium_pretrain;0.36873;0.68803;0.38258;0.67599;0.65527;0.66547;0.428;18.450;0.822;
YOLOv5l_640px_100e_on_FishInvSplit_28-09-2025_07-03-57;SUCESSO;FishInvSplit;0.66723;0.86654;0.73720;0.82736;0.80471;0.81588;0.242;15.220;0.765;
YOLOv5l_640px_100e_on_unificacaoDosOceanos_23-09-2025_11-36-00;SUCESSO;unificacaoDosOceanos;0.54773;0.75292;0.59319;0.73540;0.71196;0.72349;0.237;15.128;0.806;
YOLOv5m_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.41237;0.72403;0.43765;0.77231;0.64327;0.70191;0.451;13.152;0.894;
