nome_run;status;dataset_nome;mAP50_95;mAP50;mAP75;precisao;recall;velocidade_preprocess_ms;velocidade_inference_ms;velocidade_postprocess_ms;mensagem_erro
YOLOv5n_640px_100e_on_FishInvSplit_22-09-2025_22-54-32;SUCESSO;FishInvSplit;0.64679;0.83774;0.72117;0.84855;0.74849;0.545;3.301;0.887;
YOLOv5s_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.41996;0.72487;0.39823;0.77120;0.61864;3.616;16.642;6.005;
YOLO11l_640px_100e_on_aquarium_pretrain_28-09-2025_07-03-57;SUCESSO;aquarium_pretrain;0.35021;0.63427;0.31642;0.69057;0.53197;3.739;26.302;0.727;
YOLOv5n_640px_100e_on_unificacaoDosOceanos_23-09-2025_06-36-35;SUCESSO;unificacaoDosOceanos;0.53656;0.73001;0.59474;0.76497;0.65834;0.675;2.247;1.686;
YOLO11n_640px_100e_on_aquarium_pretrain_22-09-2025_22-54-32;SUCESSO;aquarium_pretrain;0.40397;0.70992;0.42178;0.77230;0.61915;1.835;17.257;6.817;
YOLO11s_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.65743;0.83767;0.72511;0.79518;0.78148;0.701;5.206;0.797;
YOLOv5l_640px_100e_on_aquarium_pretrain_28-09-2025_07-03-57;SUCESSO;aquarium_pretrain;0.36873;0.68803;0.38258;0.67599;0.65527;3.306;26.992;2.817;
YOLO11l_640px_100e_on_FishInvSplit_28-09-2025_07-03-57;SUCESSO;FishInvSplit;0.67361;0.83666;0.73221;0.76912;0.79712;0.363;13.506;0.566;
YOLOv5n_640px_100e_on_aquarium_pretrain_22-09-2025_22-54-32;SUCESSO;aquarium_pretrain;0.37483;0.69766;0.39143;0.73625;0.62104;3.463;6.671;6.215;
YOLOv5m_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.41237;0.72403;0.43765;0.77231;0.64327;3.524;18.423;4.470;
RT-DETR-L_640px_100e_on_unificacaoDosOceanos_23-09-2025_22-51-52;SUCESSO;unificacaoDosOceanos;0.62926;0.84226;0.68241;0.82425;0.81477;0.389;21.278;0.343;
YOLO11n_640px_100e_on_unificacaoDosOceanos_23-09-2025_06-36-35;SUCESSO;unificacaoDosOceanos;0.54399;0.72549;0.59153;0.69818;0.68360;0.810;3.520;0.754;
YOLOv5l_640px_100e_on_FishInvSplit_28-09-2025_07-03-57;SUCESSO;FishInvSplit;0.66723;0.86654;0.73720;0.82736;0.80471;0.600;14.876;0.969;
YOLOv5l_640px_100e_on_unificacaoDosOceanos_23-09-2025_11-36-00;SUCESSO;unificacaoDosOceanos;0.54773;0.75292;0.59319;0.73540;0.71196;0.524;15.225;0.725;
YOLO11m_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.36592;0.67723;0.37190;0.65810;0.63091;3.599;14.474;9.569;
YOLO11l_640px_100e_on_unificacaoDosOceanos_24-09-2025_13-04-16;SUCESSO;unificacaoDosOceanos;0.58392;0.76680;0.62864;0.80280;0.68047;0.625;13.159;0.591;
YOLO11n_640px_100e_on_FishInvSplit_22-09-2025_22-54-32;SUCESSO;FishInvSplit;0.65752;0.83228;0.73208;0.82697;0.75418;0.682;2.640;0.582;
YOLOv5m_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.67397;0.86481;0.75622;0.86127;0.78074;0.481;9.210;0.708;
YOLOv5s_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.65038;0.84669;0.73030;0.83681;0.76681;0.763;4.389;0.758;
RT-DETR-L_640px_100e_on_FishInvSplit_21-09-2025_20-06-24;SUCESSO;FishInvSplit;0.68743;0.86306;0.75019;0.86425;0.82044;0.334;21.558;0.280;
YOLO11m_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.66470;0.84287;0.73606;0.81660;0.77798;0.701;10.627;1.165;
YOLO11s_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.55263;0.74735;0.60014;0.75602;0.69064;0.538;5.179;0.607;
YOLO11m_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.55689;0.75268;0.59910;0.81745;0.65497;0.555;10.022;1.031;
RT-DETR-L_640px_100e_on_aquarium_pretrain_21-09-2025_15-37-21;SUCESSO;aquarium_pretrain;0.47139;0.77057;0.53206;0.77314;0.75188;3.435;28.366;0.366;
YOLO11s_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.40828;0.73421;0.39827;0.83171;0.62507;3.489;16.328;4.731;
YOLOv5s_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.53348;0.73456;0.57834;0.76068;0.65114;0.485;4.552;0.653;
YOLOv5m_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.55308;0.75902;0.58986;0.79126;0.66712;0.526;8.829;1.233;
